date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:27:32	15898/15898	---M--	200	added ('OK')	text/html	etag:%22aba0946-3e1a-4d6524fb88e00%22	http://pixeldizajn.com/PerfectCV/index.html	F:/graphicana/new-resume/resume/pixeldizajn.com/PerfectCV/index.html	(from )
22:27:33	327/327	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Jun%202016%2016:57:32%20GMT	http://pixeldizajn.com/robots.txt		(from )
22:27:35	2021/2021	---M--	200	added ('OK')	text/css	etag:%22aba094b-7e5-4d5133f6c4e00%22	http://pixeldizajn.com/PerfectCV/fontello/css/-ontello.css	F:/graphicana/new-resume/resume/pixeldizajn.com/PerfectCV/fontello/css/-ontello.css	(from http://pixeldizajn.com/PerfectCV/index.html)
22:27:35	21751/21751	---M--	200	added ('OK')	text/css	etag:%22aba0989-54f7-4d108a7713380%22	http://pixeldizajn.com/PerfectCV/bootstrap/css/bootstrap-responsive.css	F:/graphicana/new-resume/resume/pixeldizajn.com/PerfectCV/bootstrap/css/bootstrap-responsive.css	(from http://pixeldizajn.com/PerfectCV/index.html)
22:27:37	124277/124277	---M--	200	added ('OK')	text/css	etag:%22aba098a-1e575-4d488ab836b40%22	http://pixeldizajn.com/PerfectCV/bootstrap/css/bootstrap.css	F:/graphicana/new-resume/resume/pixeldizajn.com/PerfectCV/bootstrap/css/bootstrap.css	(from http://pixeldizajn.com/PerfectCV/index.html)
22:27:37	2546/2546	---M--	200	added ('OK')	text/css	etag:%22aba085d-9f2-4d5fc764bda00%22	http://pixeldizajn.com/PerfectCV/css/progressbar.css	F:/graphicana/new-resume/resume/pixeldizajn.com/PerfectCV/css/progressbar.css	(from http://pixeldizajn.com/PerfectCV/index.html)
22:27:38	4036/4036	---M--	200	added ('OK')	text/css	etag:%22aba085c-fc4-4d5fd8e8ead80%22	http://pixeldizajn.com/PerfectCV/css/lightbox.css	F:/graphicana/new-resume/resume/pixeldizajn.com/PerfectCV/css/lightbox.css	(from http://pixeldizajn.com/PerfectCV/index.html)
22:27:39	16668/16668	---M--	200	added ('OK')	text/css	etag:%22aba085b-411c-4d6c4f5589540%22	http://pixeldizajn.com/PerfectCV/css/styles.css	F:/graphicana/new-resume/resume/pixeldizajn.com/PerfectCV/css/styles.css	(from http://pixeldizajn.com/PerfectCV/index.html)
22:27:39	5644/5644	---M--	200	added ('OK')	image/jpeg	etag:%22aba0981-160c-4d5fdac7a9700%22	http://pixeldizajn.com/PerfectCV/img/mypic.jpg	F:/graphicana/new-resume/resume/pixeldizajn.com/PerfectCV/img/mypic.jpg	(from http://pixeldizajn.com/PerfectCV/index.html)
22:27:40	3574/3574	---M--	200	added ('OK')	image/png	etag:%22aba097a-df6-4d1d3f89a2980%22	http://pixeldizajn.com/PerfectCV/img/icons/facebook.png	F:/graphicana/new-resume/resume/pixeldizajn.com/PerfectCV/img/icons/facebook.png	(from http://pixeldizajn.com/PerfectCV/index.html)
